No.,Part Number,Internal References,Description - Item yang Ditawarkan,Qty.,UoM,Unit Price,Line Total,"Modal
Unit","Modal
Total","Laba
Unit","Laba
Total",Margin,Supplier,Item,Product,VN,Single Product
22,,G024094138,V - Murbaut M4x20,20,Pcs,1500,30000.0,1200,24000.0,300,6000.0,,"TOKOPEDIA, Tokopedia",Material Support,Install Dinding,,
23,,G024094167,V - Clam Buaya 20 mm,20,Pcs,11500,230000.0,10000,200000.0,1500,30000.0,,"TOKOPEDIA, Tokopedia",Material Support,Install Dinding,,
24,,G024094215,V - Box Panel MCB Indoor 30x40x15 cm,1,Unit,230500,230500.0,202703,202703.0,27797,27797.0,,,Material Support,Install Dinding,,
25,,G024094207,V - MCB Schneider 20A,1,Unit,77000,77000.0,67568,67568.0,9432,9432.0,,CV. Pilar Abadi Nusantara,Material Support,Install Dinding,,
26,,G024094209,V - MCB Schneider 10A,1,Unit,77000,77000.0,67568,67568.0,9432,9432.0,,CV. Pilar Abadi Nusantara,Material Support,Install Dinding,,
27,,G024094211,V - MCB Schneider 6A,7,Unit,77000,539000.0,67568,472973.0,9432,66027.0,,CV. Pilar Abadi Nusantara,Material Support,,,V - MCB Schneider 6A
28,,G024094213,V - Dinrail / mcb rail kit,1,Pcs,25500,25500.0,22523,22523.0,2977,2977.0,,CV. Pilar Abadi Nusantara,Material Support,,,V - Dinrail / mcb rail kit
29,,,"Tiang gantung Galvanis Conduit 1/2 inch , Panjang 0,5 meter)",18,Pcs,255500,4599000.0,225000,4050000.0,30500,549000.0,,Global Teknik Solusindo,Material Support,Install Dinding,,
30,,,"Tiang gantung Galvanis Conduit 3/4-1/2 inch, panjang 1 meter (bisa diadjust naik turun)",25,Pcs,284000,7100000.0,250000,6250000.0,34000,850000.0,,Global Teknik Solusindo,Material Support,Install Dinding,,
31,,,"Tiang Kamera Panjang 3,5 meter diameter 2 inch",9,Pcs,511500,4603500.0,450000,4050000.0,61500,553500.0,,Global Teknik Solusindo,Material Support,Install Dinding,,
32,,G024094148,V - Breket tempel untuk LED 32 inc di ruang cctv,4,Pcs,193000,772000.0,170000,680000.0,23000,92000.0,,Global Teknik Solusindo,Material Support,Install Dinding,,
33,,G024094150,V - Breket tempel untuk LED 43 inc,1,Pcs,193000,193000.0,170000,170000.0,23000,23000.0,,,Material Support,Install Dinding,,
34,,,Bracket tempel monitor led 24inch,1,Pcs,193000,193000.0,170000,170000.0,23000,23000.0,,Global Teknik Solusindo,Material Support,Install Dinding,,
35,,,Tang Krimping rj45 belden,1,Pcs,852000,852000.0,750000,750000.0,102000,102000.0,,"TOKOPEDIA, Tokopedia",Material Support,Install Dinding,,
36,,,Lan Tester,1,Pcs,74000,74000.0,65000,65000.0,9000,9000.0,,"TOKOPEDIA, Tokopedia",Material Support,Install Dinding,,
37,,,Konektor rj 45 Belden cat 6,2,Pack,409500,819000.0,360360,720721.0,49140,98279.0,,dynacom@gmail.com,Material Support,Install Dinding,,
38,,,Konektor STP Belden cat 6,1,Pack,682000,682000.0,600000,600000.0,82000,82000.0,,dynacom@gmail.com,Material Support,Install Dinding,yes,
39,,,T-dus 20mm Hitam,40,Pcs,7000,280000.0,6126,245045.0,874,34955.0,,PT Adji Saka Sentosa,Material Support,Install Dinding,,
1,,G024114955,V - INSTALASI KABEL UTP,95,Node,170500,16197500.0,150000,14250000.0,20500,1947500.0,0.1202,Pak Umar Bakri,Jasa Instalasi,Install Dinding,,
2,,G024125383,V - Instalasi Kabel Fiber Optic,475,meters,17000,8075000.0,15000,7125000.0,2000,950000.0,0.1176,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
3,,G024094351,V - Installasi penarikan cable ITC Alarm include terminasi,14,Node,170500,2387000.0,150000,2100000.0,20500,287000.0,0.1202,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
4,,G024094064,V - Biaya Instalasi Kabel Power Include Pemasangan Box panel,7,Node,170500,1193500.0,150000,1050000.0,20500,143500.0,0.1202,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
5,,G024094060,V - Biaya Instalasi BackBone,8,Node,170500,1364000.0,150000,1200000.0,20500,164000.0,0.1202,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
6,,G024094069,V - Biaya Installasi HDMI,2,Unit,170500,341000.0,150000,300000.0,20500,41000.0,0.1202,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
7,,G024094067,V - Biaya Setting & Pemasangan cctv Include Pointing dan Bracet / Junction Box,95,Unit,91000,8645000.0,80000,7600000.0,11000,1045000.0,0.1209,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
8,,G024094075,V - Biaya Terminasi Kabel Power / Stop Kontak,8,Node,57000,456000.0,50000,400000.0,7000,56000.0,0.1228,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
9,,G024094079,V - Pemasangan Wmr,6,Unit,284000,1704000.0,250000,1500000.0,34000,204000.0,0.1197,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
10,,G024094077,V - Biaya Pemasangan NVR & Switch,1,lot,284000,284000.0,250000,250000.0,34000,34000.0,0.1197,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
11,,G024094081,V - Terminasi Modular WMR dan Server,127,Pcs,22500,2857500.0,20000,2540000.0,2500,317500.0,,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
12,,G024094083,V - Pemasangan Box Panel Include Mcb,1,lot,284000,284000.0,250000,250000.0,34000,34000.0,,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
13,,G024094353,V - pemasangan perangkat device Alarm,13,Unit,113500,1475500.0,100000,1300000.0,13500,175500.0,,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
14,,G024094085,V - Biaya Testing Commisioning,1,lot,2840500,2840500.0,2500000,2500000.0,340500,340500.0,,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
15,,G024094088,V - Normalisasi,1,lot,1704500,1704500.0,1500000,1500000.0,204500,204500.0,,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
16,,G025031865,V - Dokumentasi LV 2,1,lot,852000,852000.0,750000,750000.0,102000,102000.0,,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
17,,G024094093,V - Biaya Bongkar pasang scafolding,1,lot,5681500,5681500.0,5000000,5000000.0,681500,681500.0,,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
19,,G024094096,V - Biaya Service maintennce 1 tahun,1,lot,5113000,5113000.0,4500000,4500000.0,613000,613000.0,,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
20,,G024094098,V - Biaya Test Grounding,1,lot,3409000,3409000.0,3000000,3000000.0,409000,409000.0,,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
21,,G024094073,V - Biaya Installasi Pemasangan Breaket Tempel & LED TV,3,Unit,170500,511500.0,150000,450000.0,20500,61500.0,,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
22,,,Dismantle Kabel UTP + Unit CCTV,48,Unit,113500,5448000.0,100000,4800000.0,13500,648000.0,,Pak Umar Bakri,Jasa Instalasi,Install Kabel,,
23,,G024125256,V - Splicing kabel FO & WMR Rack Server,16,Core,57000,912000.0,50000,800000.0,7000,112000.0,,Pak Umar Bakri,Jasa Instalasi,Install Dinding,,
24,,G025031889,V - Labeling Lv 2,1,Lot,852000,852000.0,750000,750000.0,102000,102000.0,,Pak Umar Bakri,Jasa Instalasi,Install Dinding,,
